World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank
34,1285,1733725338,Dobita,215,warrior,271,Game Over,0,66,44,88,57,0,48111925,6
09,1286,1733420568,Mansory,215,warrior,202,The Kings,0,85,59,0,0,0,9688925,44
33,1287,1732868634,Firefox,215,warrior,289,8 Dewa,10,0,66,0,76,34,156051651,2
23,1288,1732020771,Sanjii,215,wizard,231,P E A C E,0,96,36,0,0,0,41404016,13
11,1289,1729884502,Lazyena,214,warrior,448,Legends Id,0,0,98,9,5,0,11234414,49
15,1290,1729434256,Rocksxebec,214,warrior,361, ,0,0,81,87,56,0,0,0
23,1291,1728953485,Hellboyx,214,warrior,298,P E A C E,0,97,61,0,0,0,41404016,13
11,1292,1728898778,Rvinz,214,wizard,263, ,0,0,72,0,0,0,0,0
07,1293,1728698459,Youngcandy,214,warrior,251,Th3 Army,0,63,40,0,0,0,7985724,41
09,1294,1728085644,Pikachuu,214,warrior,316,Junction 4,0,86,60,0,62,0,0,0
32,1295,1727607317,Gewang,214,wizard,449,Haoxiangni,0,0,44,12,5,0,134602058,5
33,1296,1726135989,Gods,214,warrior,420,Texas,0,0,67,23,14,0,548214731,1
11,1297,1725551346,Coltz,214,wizard,270, ,0,0,73,0,0,0,0,0
37,1298,1725286643,Acqua,214,wizard,363,Anak Dpr,0,77,27,36,14,0,287223,91
07,1299,1724719562,Falkeninc,214,warrior,247, ,0,64,41,0,0,0,0,0
07,1300,1724272886,Atmosfer,214,warrior,222,Life Alone,0,65,42,0,0,0,192421753,2
07,1301,1723704703,Skylinez,214,warrior,229,Th3 Army,0,66,43,0,0,0,7985724,41
35,1302,1722339576,Vastolord,214,warrior,286,Br Comanda,0,67,38,91,48,0,17502651,7
01,1303,1720114132,Bunny,214,warrior,339,The Best,0,0,87,0,64,0,0,0
34,1304,1719992538,Gisrequiem,214,wizard,198,Hakka,0,67,23,0,81,0,16482665,10
37,1305,1719455716,Zsky,214,warrior,270,Unexpected,0,78,51,0,100,0,12392779,10
15,1306,1719141035,Aneh,214,wizard,330,Netral Old,0,0,33,0,53,0,2056127,93
35,1307,1718487391,Chinelo,214,warrior,360,Blackbulls,0,68,39,26,12,0,148504530,4
34,1308,1718136739,Mochi,214,wizard,285,L A N L A,0,68,24,71,23,0,91116146,3
09,1309,1717241967,Gnexmafia,214,warrior,292,Unforgiv3n,0,87,61,0,0,0,199098964,3
23,1310,1717069857,Peaky,214,warrior,298,Handler0ne,0,98,62,0,0,0,2743451,62
32,1311,1714850471,President,214,wizard,416,Solo Army,0,0,45,24,9,0,338461959,2
11,1312,1713046391,Nikizzz,214,wizard,225,New Star99,0,0,74,0,0,0,0,0
01,1313,1711048127,Baili,214,warrior,281,After Rain,0,0,88,0,0,0,32832263,23
23,1314,1708949459,Misiaaaa,214,wizard,189,Handler0ne,0,99,37,0,0,0,2743451,62
36,1315,1708687810,Wannna,214,wizard,274,Alcatraz,0,83,30,0,49,0,3956790,30
23,1316,1707285718,Danii,214,wizard,222,Dbj,5,100,38,0,0,94,177735958,4
01,1317,1706545418,Michio,214,warrior,254,After Rain,0,0,89,0,0,0,32832263,23
36,1318,1706236613,Camoflage,214,warrior,263,Rudeboyz,0,84,54,0,96,0,12366203,15
11,1319,1702973962,Onevito,214,warrior,414,Ayank,0,0,99,24,17,0,0,0
33,1320,1702281472,Orinankai,214,warrior,342,Admiral,0,0,68,65,39,0,2257050,50
35,1321,1701847325,Kingwiz,214,wizard,382,Guardioes,0,69,30,17,10,0,3750748,18
11,1322,1700858720,Aausen,214,warrior,302,K O L E R,0,0,100,0,0,0,40214931,15
23,1323,1700495192,Papajack,214,warrior,284, ,0,0,63,0,0,0,0,0
02,1324,1699749457,Alcoholic,214,wizard,208,Gothsterz,0,0,45,0,0,0,859851517,1
15,1325,1697053434,Pamaton,213,warrior,274,Deadlysinz,0,0,82,0,0,0,36420969,17
23,1326,1696533080,Ayenn,213,wizard,367,Handler0ne,0,0,39,51,16,0,2743451,62
01,1327,1696410096,Jughead,213,warrior,298,Malditos,0,0,90,0,0,0,3320752,94
33,1328,1695541365,Furywar,213,warrior,102, ,0,0,69,0,0,0,0,0
34,1329,1695406822,Mrlimboss,213,wizard,475,W I N E,0,69,25,2,1,0,132614,91
01,1330,1693943866,Kayin,213,wizard,413,Dead End,0,0,58,31,13,0,21901493,35
36,1331,1693924890,Letnanta,213,warrior,315,Blaclover,0,85,55,88,60,0,8338676,21
36,1332,1693829189,Dainis,213,wizard,182,Lietuviu,0,86,31,0,0,0,185148334,1
09,1333,1693371371,Angkerr,213,warrior,291,S W A T,0,88,62,0,0,0,25787976,23
02,1334,1691544350,Aikuh,213,wizard,289,Newchibata,0,0,46,0,83,0,183437419,5
15,1335,1691503429,Michellen,213,wizard,231, ,0,0,34,0,0,0,0,0
23,1336,1690561432,Grimmjow,213,warrior,293,Clan Senju,0,0,64,0,0,0,28352863,17
34,1337,1690499523,Oxymoron,213,warrior,186,Kgb,0,70,45,0,0,0,715785,48
37,1338,1686082824,Meiling,213,warrior,334,H Y D R A,0,79,52,61,38,0,81994266,3
32,1339,1685692447,Lionell,213,wizard,327,Star Ons,0,0,46,0,62,0,26339632,19
11,1340,1685686025,Holwie,213,wizard,391,Holy Nitro,0,0,75,45,18,0,35234136,18
32,1341,1683309794,Abominate,213,warrior,355, ,0,0,72,84,56,0,0,0
32,1342,1682743294,Ella,213,warrior,388,Solo Army,0,0,73,41,28,0,338461959,2
09,1343,1680686071,Kimihime,213,warrior,339,Tajudien,0,89,63,73,38,0,3531562,61
33,1344,1679576562,Xmafia,213,warrior,323,L A N L A,0,0,70,89,57,0,113475823,3
09,1345,1678758384,Sethzero,213,wizard,304,M V P,0,90,27,0,60,0,13915659,35
37,1346,1676641818,Royces,213,wizard,404,H Y D R A,0,80,28,19,5,0,81994266,3
23,1347,1676110722,Laksamana,213,wizard,240,War 87,0,0,40,0,0,0,14803386,25
01,1348,1675313447,Demigod,213,warrior,252, ,5,0,91,0,0,66,0,0
09,1349,1675222132,Uppermoon,213,warrior,274,D A M A I,0,91,64,0,0,0,96204444,6
23,1350,1674533483,Damiya,213,wizard,237,Bru Team,0,0,41,0,0,0,0,0
34,1351,1674369548,Buzuka,213,wizard,281,X Reunion,0,71,26,77,27,0,49039657,5
02,1352,1672880376,Mieezle,213,wizard,341,Dream Team,0,0,47,80,30,0,186655044,4
01,1353,1672759296,Cocomelon,213,warrior,460,After Rain,0,0,92,11,7,0,32832263,23
36,1354,1672285747,Babybozz,213,warrior,263,Alcatraz,0,87,56,0,95,0,3956790,30
23,1355,1671014243,Mercurys,213,wizard,273,Lunaticos,0,0,42,0,0,0,268123295,2
23,1356,1670871399,Ltdemon,213,warrior,206,Death Clan,0,0,65,0,0,0,2958931,57
23,1357,1670506615,Anxiety,213,warrior,337,R R Q,0,0,66,94,59,0,0,0
07,1358,1669793810,Zepiros,213,wizard,258,Dol Guldur,0,67,24,0,0,0,14619818,29
01,1359,1669762178,Moonlife,213,warrior,326, ,0,0,93,0,85,0,0,0
23,1360,1669347792,Alyda,213,warrior,367,Toxic Pro,0,0,67,52,36,0,3765027,53
37,1361,1669137640,App,213,warrior,233,Unexpected,0,81,53,0,0,0,12392779,10
07,1362,1668774864,Darkropa,213,wizard,266,Dol Guldur,0,68,25,0,91,0,14619818,29
09,1363,1668551990,Esinz,213,warrior,353,Genshin,0,92,65,48,24,0,0,0
15,1364,1668487483,Leolin,213,wizard,355,3 Brothers,0,0,35,100,36,0,0,0
23,1365,1667316446,Larssie,212,wizard,264, ,0,0,43,0,0,0,0,0
11,1366,1666709710,Bukew,212,warrior,353,Goblok,0,0,0,0,68,0,0,0
09,1367,1666605260,Spyrox,212,wizard,385, ,0,93,28,23,12,0,0,0
11,1368,1666556040,Dewamabuxx,212,warrior,384,Holy Nitro,5,0,0,59,33,68,35234136,18
37,1369,1666123031,Reddevil,212,warrior,411,H Y D R A,0,82,54,18,14,0,81994266,3
11,1370,1665806995,Abyssal,212,warrior,388,Lovenlive,0,0,0,49,28,0,438317429,1
09,1371,1665692245,Mrkokodail,212,warrior,340,Extagon,0,94,66,71,37,0,0,0
32,1372,1664456254,Soulvibes,212,wizard,428, ,0,0,47,18,6,0,0,0
07,1373,1664442513,Psycho,212,wizard,281,Last Mercy,0,69,26,0,67,0,13266198,31
23,1374,1662840549,Godson,212,wizard,359,Angkor Kh,0,0,44,63,20,0,41856276,12
02,1375,1662802447,Sauron,212,warrior,274,Gothsterz,0,0,73,0,0,0,859851517,1
01,1376,1662012762,Roadhog,212,warrior,235,The Best,0,0,94,0,0,0,0,0
32,1377,1661185093,Leqen,212,warrior,377,Javanesse,0,0,74,52,37,0,316044660,3
32,1378,1661076527,Velooz,212,warrior,268,Monarch,0,0,75,0,0,0,0,0
09,1379,1660876320,Kamazo,212,wizard,302,Aincrad,0,95,29,0,62,0,0,0
11,1380,1660360835,Monday,212,wizard,360,C O V E Ns,0,0,76,0,42,0,0,0
01,1381,1659811941,Mrxavier,212,wizard,181,Infinityxx,0,0,59,0,0,0,197224717,4
02,1382,1659440102,Godwizy,212,wizard,277,R T F,0,0,48,0,0,0,45275170,11
11,1383,1658606744,Simson,212,warrior,413, ,0,0,0,25,18,0,0,0
07,1384,1658465918,Zyn,212,wizard,282,7 S I N S,0,70,27,0,64,0,0,0
11,1385,1657760425,Mvpachmad,212,wizard,336,K O L E R,0,0,77,0,62,0,40214931,15
15,1386,1654549737,Custokimz,212,warrior,338,Y O U,0,0,83,0,88,0,396899359,3
11,1387,1654079930,Xvr,212,warrior,367,Holy Nitro,0,0,0,87,50,0,35234136,18
32,1388,1654021881,Lovebird,212,warrior,345, ,0,0,76,99,65,0,0,0
15,1389,1653724675,Chunly,212,warrior,334,Hakka,0,0,84,0,97,0,464833013,2
32,1390,1653534359,Cheenz,212,warrior,284,I Am Fine,0,0,77,0,0,0,713848785,1
37,1391,1652955496,Antinyamuk,212,warrior,298,Snitch V,0,83,55,0,68,0,2673182,27
32,1392,1652939556,Soulhappy,212,wizard,366,I Am Fine,0,0,48,67,21,0,713848785,1
23,1393,1651196821,Marechal,212,wizard,315,Death Clan,0,0,45,0,55,0,2958931,57
01,1394,1650875383,Barbarik,212,wizard,282,The Best,0,0,60,0,0,0,0,0
35,1395,1650365256,Sweetaa,212,wizard,215,New Star,0,70,31,0,89,0,544357335,1
15,1396,1649542348,Messilent,212,warrior,536,Messsilent,0,0,85,1,1,0,328487362,4
09,1397,1648315855,Spanishguy,212,wizard,242,Extagon,0,96,30,0,0,0,0,0
37,1398,1648304031,Mandarin,212,warrior,298,Beast Mode,0,84,56,0,69,0,193647090,1
15,1399,1648298863,Nishui,212,wizard,323,Tn Cullen,0,0,36,0,65,0,0,0
33,1400,1648294211,Ratuyami,212,wizard,251,L A N L A,20,0,37,0,85,1,113475823,3
36,1401,1646784011,Xfer,212,warrior,344, ,0,88,57,50,34,0,0,0
33,1402,1646636555,Skywizrd,212,wizard,332,L A N L A,0,0,38,77,29,0,113475823,3
33,1403,1646472320,Papagenit,212,warrior,177,L A N L A,0,0,71,0,0,0,113475823,3
01,1404,1644058663,Lampirman,212,warrior,286, ,0,0,95,0,0,0,0,0
09,1405,1643777118,Leoness,212,warrior,326,Level Up,0,97,67,96,51,0,4398312,57
11,1406,1643723993,Yingnie,212,wizard,220,Lovenlive,0,0,78,0,0,0,438317429,1
01,1407,1643602655,Kaioqdc,212,wizard,286,Game Over,0,0,61,0,0,0,91231635,10
09,1408,1643494897,Hotshotgg,212,wizard,364,R A J A,0,98,31,35,18,0,1876643,76
07,1409,1642849192,Mrnik,212,wizard,238,1shot1kill,0,71,28,0,0,0,32287292,20
11,1410,1640439262,Tsion,212,warrior,435,404,0,0,0,13,7,0,0,0
11,1411,1639850294,Blackmaskz,212,warrior,472,Lovenlive,15,0,0,7,3,14,438317429,1
23,1412,1639312157,Kyokko,212,warrior,275,Handler0ne,0,0,68,0,0,0,2743451,62
15,1413,1638924233,Guess,212,wizard,286,Ovp,0,0,37,0,0,0,0,0
11,1414,1638848982,Regar,212,warrior,338,Lovenlive,0,0,0,0,89,0,438317429,1
23,1415,1638292672,Alphonse,212,warrior,317,Handler0ne,0,0,69,0,82,0,2743451,62
02,1416,1637173246,Yujiro,212,warrior,268, ,0,0,74,0,0,0,0,0
23,1417,1637016268,Vai,212,warrior,324,Angkor Kh,0,0,70,0,75,0,41856276,12
01,1418,1635410581,Saviour,211,warrior,325,After Rain,0,0,96,0,86,0,32832263,23
01,1419,1635315819,Strongwizz,211,wizard,304,Sri Gala,0,0,62,0,83,0,102755498,9
32,1420,1635115070,Anonymouzl,211,wizard,232,I Am Fine,0,0,49,0,0,0,713848785,1
01,1421,1634398023,Jastpp,211,warrior,204,Game Over,0,0,97,0,0,0,91231635,10
01,1422,1634173321,Anarquia,211,wizard,304,Liberdade,0,0,63,0,84,0,30178395,25
23,1423,1631149960,Blackgatot,211,wizard,263,Handler0ne,0,0,46,0,0,0,2743451,62
15,1424,1630740940,Aoii,211,wizard,216,Yi Gan Mei,0,0,38,0,0,0,10339443,35
23,1425,1630160000,Batamone,211,warrior,345, ,0,0,71,79,52,0,0,0
36,1426,1629600078,Demonkai,211,warrior,243,Rudeboyz,0,89,58,0,0,0,12366203,15
01,1427,1629087678,Warpath,211,warrior,263,Suicide Sq,5,0,98,0,0,88,0,0
34,1428,1627820257,Imperial,211,warrior,317, ,0,72,46,46,33,0,0,0
35,1429,1627734829,Tocxi,211,wizard,259,Blackbulls,0,71,32,0,62,0,148504530,4
11,1430,1626948389,Daiguren,211,warrior,363,B A B Y,0,0,0,96,56,0,0,0
07,1431,1623503314,Darkonee,211,wizard,234,End Game,0,72,29,0,0,0,0,0
34,1432,1623389572,Scov,211,warrior,276, ,0,73,47,79,52,0,0,0
15,1433,1622834939,Onimoon,211,warrior,243,Kawasaki,20,0,86,0,0,5,166138253,6
23,1434,1622067167,Curry,211,wizard,298,Dbj,0,0,47,0,76,0,177735958,4
09,1435,1621909476,Maryanne,211,wizard,339, ,0,99,32,72,35,0,0,0
02,1436,1621586735,Sandrony,211,warrior,434,Thekillers,0,0,75,15,11,0,8612933,36
02,1437,1621391751,Lordwizy,211,wizard,226,R T F,0,0,49,0,0,0,45275170,11
23,1438,1618987105,Xorbz,211,warrior,330,Handler0ne,0,0,72,0,64,0,2743451,62
23,1439,1618248603,Necrozma,211,wizard,336,Death Clan,0,0,48,97,36,0,2958931,57
32,1440,1617731385,Legend,211,warrior,297,I Am Fine,0,0,78,0,0,0,713848785,1
02,1441,1617376823,Cazeaje,211,wizard,318,R T F,0,0,50,0,51,0,45275170,11
01,1442,1615714680,Liangz,211,warrior,179,T6tiau,5,0,99,0,0,55,33030886,22
15,1443,1615124050,Devdevil,211,wizard,375,Blackpinky,0,0,39,62,29,0,2002909,95
07,1444,1612696320,Benywar,211,warrior,309,Liga Cieni,0,73,44,0,61,0,18557642,25
34,1445,1612671201,Gtoxy,211,warrior,268,Icecreams,0,74,48,96,60,0,1893012,27
02,1446,1612243782,Morbius,211,warrior,432,R T F,0,0,76,16,12,0,45275170,11
32,1447,1611056016,Zsinz,211,warrior,442,I Am Fine,0,0,79,16,11,0,713848785,1
09,1448,1610736049,Myrddin,211,wizard,193,M V P,0,100,33,0,0,0,13915659,35
07,1449,1610571145,Luna,211,wizard,272,Last Mercy,0,74,30,0,80,0,13266198,31
35,1450,1610015551,Mrhen,211,warrior,376,New Star,0,72,40,19,9,0,544357335,1
02,1451,1608136863,Thinyuk,211,warrior,333, ,0,0,77,95,59,0,0,0
09,1452,1608035003,Alquds,211,warrior,302,Extagon,0,0,68,0,95,0,0,0
07,1453,1607187944,Savator,211,warrior,227,World18,0,75,45,0,0,0,58177357,13
01,1454,1607009479,Ultratech,211,wizard,287,Turk Team,0,0,64,0,0,0,72772299,12
09,1455,1606064304,Kloyn,211,wizard,246,Gold Roger,0,0,34,0,0,0,44956624,11
34,1456,1605997349,Pfizer,211,warrior,242,X Reunion,0,75,49,0,85,0,49039657,5
23,1457,1605853306,Kingharley,211,warrior,290,The Last,0,0,73,0,0,0,10067606,37
35,1458,1605493085,Magroloko,210,wizard,221,Br Comanda,0,73,33,0,85,0,17502651,7
33,1459,1605282789,Gion,210,wizard,432,Admiral,0,0,39,19,7,0,2257050,50
11,1460,1603778555,Gremory,210,wizard,344,Enjoy,0,0,79,0,54,0,0,0
15,1461,1600246460,Mylest,210,warrior,191,F A K E,5,0,87,0,0,75,36660238,16
09,1462,1599354376,Jaychoi,210,wizard,369,The Braves,0,0,35,34,17,0,0,0
07,1463,1598595005,Fireclaw,210,warrior,306,Life Alone,0,76,46,0,66,0,192421753,2
01,1464,1598050662,Xturkkingx,210,wizard,165,The Best,0,0,65,0,0,0,0,0
37,1465,1597447396,Boykaa,210,wizard,338,H Y D R A,0,85,29,57,22,0,81994266,3
35,1466,1596775735,Javiers,210,warrior,211,Br Comanda,0,74,41,0,0,0,17502651,7
01,1467,1595686872,Qiqia,210,warrior,316,Sri Gala,0,0,100,0,98,0,102755498,9
37,1468,1595574798,Tyson,210,warrior,275,Unexpected,0,86,57,0,91,0,12392779,10
02,1469,1593600317,Akim,210,warrior,300,Avatar War,0,0,78,0,0,0,566030220,2
11,1470,1593126867,Valentinea,210,wizard,261,Reverse 34,0,0,80,0,0,0,4544863,73
11,1471,1591779749,Someone,210,warrior,259,K O L E R,10,0,0,0,0,31,40214931,15
34,1472,1591049492,Auihumnoy,210,warrior,282,Reverse,0,76,50,75,49,0,429132582,1
37,1473,1589866764,Yonganwang,210,warrior,279,Unexpected,0,87,58,0,84,0,12392779,10
15,1474,1588627668,Dankkers,210,warrior,335,Night Sect,0,0,88,0,94,0,0,0
36,1475,1587637163,Square,210,warrior,401,Happiness,0,90,59,17,10,0,47141704,4
09,1476,1585834756,Tupak,210,warrior,239,Pycckue,0,0,69,0,0,0,26776348,22
11,1477,1585592988,Jfong,210,wizard,374,King Lv70,0,0,81,76,35,0,0,0
23,1478,1585284018,Meiping,210,wizard,336,P E A C E,0,0,49,96,37,0,41404016,13
15,1479,1585093513,Melinda,210,wizard,400,Messsilent,0,0,40,39,15,0,328487362,4
11,1480,1583634528,Luffman,210,warrior,385, ,0,0,0,55,32,0,0,0
01,1481,1583408706,Babyazeeh,210,wizard,287,After Rain,0,0,66,0,0,0,32832263,23
01,1482,1583343808,Poseidona,210,warrior,372, ,0,0,0,62,39,0,0,0
02,1483,1583197168,Zeezle,210,warrior,308,Dream Team,0,0,79,0,86,0,186655044,4
34,1484,1580977690,Babywiz,210,wizard,217, ,0,77,27,0,71,0,0,0
11,1485,1580400300,Simargl,210,wizard,280,N O V A,0,0,82,0,0,0,11968854,48
35,1486,1580154301,Itashy,210,warrior,355,Blackbulls,0,75,42,29,15,0,148504530,4
02,1487,1578985819,Kowalikuss,210,warrior,260,Gothsterz,0,0,80,0,0,0,859851517,1
07,1488,1578506688,Druzja,210,warrior,274,Last Mercy,0,77,47,0,0,0,13266198,31
09,1489,1577573455,Vaccine,210,wizard,276,Level Up,0,0,36,0,0,0,4398312,57
35,1490,1577240295,Damien,210,warrior,237,Blackbulls,0,76,43,0,90,0,148504530,4
36,1491,1577200614,Invictuus,210,warrior,325,Imperio,0,91,60,74,51,0,2272218,34
32,1492,1576120362,Woxiangni,210,warrior,293,Haoxiangni,0,0,80,0,0,0,134602058,5
32,1493,1575623596,Budiz,210,warrior,337,I Kiss You,5,0,81,0,76,95,0,0
11,1494,1575464543,Hawami,210,wizard,386,2 Ft,0,0,83,54,22,0,2169644,100
09,1495,1574835321,Gosuu,209,wizard,331,G O D,0,0,37,84,41,0,39615790,15
37,1496,1574320603,Antipukek,209,wizard,397,Snitch V,0,88,30,22,7,0,2673182,27
32,1497,1573120348,Blazt,209,warrior,174, ,0,0,82,0,0,0,0,0
32,1498,1571498447,Blackjackx,209,warrior,132, ,0,0,83,0,0,0,0,0
15,1499,1571125956,Zilong,209,wizard,335,Gipzhi,0,0,41,0,50,0,50072985,11
15,1500,1569992131,Gooking,209,warrior,305,Glovin,0,0,89,0,0,0,49158112,12
07,1501,1566845793,Plitanosec,209,wizard,209, ,0,78,31,0,0,0,0,0
37,1502,1566539052,Antibacok,209,warrior,286,Snitch V,0,89,59,0,80,0,2673182,27
23,1503,1566117561,Ivatrontr,209,warrior,287,The Last,0,0,74,0,0,0,10067606,37
35,1504,1565681221,Rockstyler,209,wizard,261,Br Comanda,0,77,34,0,60,0,17502651,7
11,1505,1563663450,Dhanya,209,wizard,286,The Fixers,0,0,84,0,0,0,54014974,11
02,1506,1563428745,Angkal,209,warrior,292,Friend,0,0,81,0,0,0,0,0
37,1507,1563425352,Alphagusk,209,warrior,333,B L I T Z,0,90,60,63,39,0,27759629,4
02,1508,1562785414,Skyz,209,wizard,346,Mr T E A M,0,0,51,73,25,0,7019680,38
15,1509,1562653586,Renzo,209,warrior,303,Banjar Clb,0,0,90,0,0,0,2800145,75
07,1510,1562103292,Barbosa,209,wizard,181,End Game,0,79,32,0,0,0,0,0
09,1511,1561210254,Lordluffy,209,warrior,315, ,0,0,70,0,67,0,0,0
33,1512,1560466585,Tankal,209,warrior,252,H O N O R,0,0,72,0,0,0,5123924,28
32,1513,1560205627,Ipockyl,209,warrior,404,Solo Army,0,0,84,30,21,0,338461959,2
09,1514,1560092131,Airbornz,209,warrior,207,Unforgiv3n,0,0,71,0,0,0,199098964,3
23,1515,1559360849,Zemah,209,warrior,260,P E A C E,0,0,75,0,0,0,41404016,13
15,1516,1559343619,Lwrlangkar,209,wizard,409, ,0,0,42,34,12,0,0,0
35,1517,1559107459,Lina,209,warrior,309,New Star,0,78,44,58,33,0,544357335,1
23,1518,1559094976,Qzlml,209,warrior,339,P E A C E,0,0,76,90,57,0,41404016,13
32,1519,1558264678,Xavi,209,warrior,246,90s,0,0,85,0,0,0,8389414,45
11,1520,1558256592,Khabibov,209,wizard,127,N O V A,0,0,85,0,0,0,11968854,48
01,1521,1557435590,Linggard,209,wizard,230,Turk Team,0,0,67,0,0,0,72772299,12
01,1522,1554853677,Jxza,209,wizard,296, ,0,0,68,0,91,0,0,0
11,1523,1553738015,Acaykings,209,warrior,366,Born2kill,0,0,0,89,52,0,0,0
33,1524,1553297817,Hush,209,wizard,261,Sweet3sour,0,0,40,0,77,0,20274548,11
23,1525,1552054408,Edychow,209,wizard,327, ,0,0,50,0,47,0,0,0
11,1526,1551300530,Tmz,209,warrior,341,Fr44j01n,0,0,0,0,81,0,0,0
02,1527,1551210742,Mrsmaple,209,warrior,226,Dream Team,0,0,82,0,0,0,186655044,4
09,1528,1550883742,Nanomage,209,wizard,342,S W A T,0,0,38,64,33,0,25787976,23
11,1529,1550075178,Killer,209,warrior,339, ,0,0,0,0,87,0,0,0
37,1530,1548549474,Celerio,209,warrior,304, ,0,91,61,0,62,0,0,0
07,1531,1548208421,Lonelyboyy,209,wizard,277,Lovehunter,0,80,33,0,74,0,0,0
23,1532,1547959960,Glaliddinn,209,warrior,259,Angkor Kh,0,0,77,0,0,0,41856276,12
07,1533,1547019658,Nqr,209,warrior,263,7 S I N S,0,81,48,0,0,0,0,0
15,1534,1543433185,Mosichin,208,warrior,266,Hell Gate,0,0,91,0,0,0,14353668,31
11,1535,1540701281,Mrbigbos,208,wizard,402,K O L E R,0,0,86,35,13,0,40214931,15
07,1536,1540606022,Lewyjr,208,warrior,262,Th3 Army,0,82,49,0,0,0,7985724,41
37,1537,1539020516,Ananas,208,warrior,233,Unexpected,0,92,62,0,0,0,12392779,10
07,1538,1539019472,Icaros,208,warrior,283,Kastam,0,83,50,0,97,0,1984200,91
09,1539,1538297837,Covide,208,warrior,304,Level Up,0,0,72,0,92,0,4398312,57
09,1540,1537494894,Cgaretss,208,wizard,344,Old School,0,0,39,59,28,0,0,0
15,1541,1535377244,Preacher,208,wizard,311,Sindika,0,0,43,0,83,0,0,0
01,1542,1535287151,Korupsi,208,wizard,269,W I N E,0,0,69,0,0,0,0,0
11,1543,1534717205,Sniperxx,208,wizard,375, ,0,0,87,74,33,0,0,0
01,1544,1534533161,Davincy,208,wizard,312, ,0,0,70,0,75,0,0,0
32,1545,1532589501,Princeleon,208,warrior,332,I Am Fine,0,0,86,0,83,0,713848785,1
23,1546,1532301801,Qzlayz,208,warrior,295,P E A C E,0,0,78,0,0,0,41404016,13
01,1547,1530900263,Kidd,208,warrior,387,Sri Gala,15,0,0,48,27,22,102755498,9
07,1548,1528104624,Do,208,warrior,282,Th3 Army,0,84,51,0,99,0,7985724,41
15,1549,1527666976,Ganeshaa,208,warrior,312,Deadlysinz,20,0,92,0,0,7,36420969,17
32,1550,1527461984,Souldavinc,208,warrior,228,I Am Fine,0,0,87,0,0,0,713848785,1
02,1551,1527193181,Fedor,208,wizard,480,Gothsterz,0,0,52,7,2,0,859851517,1
32,1552,1526482293,Lsinz,208,warrior,244,I Am Fine,0,0,88,0,0,0,713848785,1
07,1553,1525291928,Leyenda,208,warrior,273,300 Sparta,0,85,52,0,0,0,5495989,52
32,1554,1524682935,Ligma,208,wizard,275, ,0,0,50,0,0,0,0,0
36,1555,1524224277,Khaiwar,208,warrior,350,Alcatraz,0,92,61,42,28,0,3956790,30
09,1556,1524152723,Yvonne,208,warrior,329,The Hero,0,0,73,88,47,0,441282249,1
11,1557,1523969382,Sylvia,208,wizard,503,Lovenlive,15,0,88,3,3,15,438317429,1
15,1558,1523958806,Tbma,208,wizard,258,The Dust,0,0,44,0,0,0,79526939,10
01,1559,1523796644,Kuiwong,208,wizard,448,8dewa,0,0,71,15,7,0,0,0
07,1560,1523744354,Lordclaw,208,wizard,241,Last Mercy,0,86,34,0,0,0,13266198,31
09,1561,1523149898,Landshark,208,wizard,288, ,0,0,40,0,81,0,0,0
34,1562,1522117228,Thanatos,208,warrior,343,X Reunion,0,78,51,27,17,0,49039657,5
23,1563,1521895741,Wanda,208,wizard,125,Crusaders,0,0,51,0,0,0,530601559,1
09,1564,1520029745,Floryn,208,wizard,302,Lost Lake,0,0,41,0,61,0,42210292,14
33,1565,1519935619,Mistake,208,warrior,266,L A N L A,0,0,73,0,97,0,113475823,3
15,1566,1519702707,Bababubell,208,warrior,289,Hakka,0,0,93,0,0,0,464833013,2
23,1567,1518687607,Arz,208,wizard,300,Swallow19,0,0,52,0,74,0,130176323,6
02,1568,1518262389,Abgaji,208,warrior,267, ,0,0,83,0,0,0,0,0
15,1569,1517522425,Nalendra,208,warrior,344, ,0,0,94,0,77,0,0,0
15,1570,1517455981,Hozer,208,warrior,215, ,5,0,95,0,0,72,0,0
15,1571,1517271476,Cubs,208,warrior,316,Deadlysinz,0,0,96,0,0,0,36420969,17
11,1572,1516214553,Galau,208,wizard,268, ,0,0,89,0,0,0,0,0
09,1573,1515076256,Lowermoon,207,warrior,333,D A M A I,0,0,74,81,42,0,96204444,6
32,1574,1514621984,Theevils,207,wizard,306,L O Y A L,0,0,51,0,89,0,15969144,30
34,1575,1514290217,Nopanic,207,warrior,322,Icecreams,0,79,52,42,29,0,1893012,27
37,1576,1514234591,Geroin,207,warrior,199,H Y D R A,0,93,63,0,0,0,81994266,3
23,1577,1514176726,Erika,207,wizard,515,Crusaders,0,0,53,2,1,0,530601559,1
15,1578,1512864319,Gorvala,207,warrior,352,Deadlysinz,0,0,97,0,66,56,36420969,17
02,1579,1512623221,Stingx,207,warrior,268,W C W,0,0,84,0,0,0,66681551,9
07,1580,1511988056,Poger,207,wizard,417,300 Sparta,0,87,35,11,4,0,5495989,52
35,1581,1511416860,Nokaute,207,wizard,278,Blackbulls,0,79,35,0,49,0,148504530,4
